Sample ID,raw_material,RM_PSA_D50,PS_Temp,PS_Ratio,p-Si_pore_volume,p-Si_pore_size,p-Si_domain_size,p-Si_Oxygen,C_condition,Carbon,c-Oxygen,c-Si_domain_size,c-Surface_area,FCETemp,LiCap,DeliCap,FCE
CEQ10-40C-e50,S6,5,845,0.86,0.81,3.11,2.1,1.9,200,42.7,1.7,2.3,6.1,45,1980,1614,81.5
CEQ10-40C-e51,S6,5,845,0.88,0.8,3.11,2.1,1,200,43,2,2.2,8.1,45,2080,1698,81.6
CEQ10-40C-e52,S6,5,845,0.85,0.79,3.11,2.1,1.4,200,40.3,2,2,7,45,2038,1663,81.6
CEQ10-40C-e57,S6,5,845,0.96,0.81,3.11,2.1,1.1,200,40.3,1.8,2.3,7.3,45,2075,1707,82.3
CEQ10-40C-e58,S6,5,845,0.92,0.83,3.11,2,0.9,200,41.2,1.8,2.1,7.5,45,2093,1716,82
CEQ11-40C-e53,S6,5,845,0.86,0.82,3.11,2,1,300,39.3,1.7,2.2,11.6,45,2196,1829,83.3
CEQ11-40C-e54,S6,5,845,0.89,0.79,3.11,2.3,0.9,300,39.3,1.4,2.5,7.4,45,2246,1879,83.7
CEQ11-40C-e56,S6,5,845,0.88,0.82,3.11,2.1,0.9,300,39.7,1.6,2.4,4.4,45,2114,1753,82.9
CEQ11-40C-e59,S6,5,845,0.88,0.81,3.11,2.1,0.9,300,39.5,1.2,2.4,4.1,45,2159,1802,83.5
CEQ11-40C-e60,S6,5,845,0.89,0.79,3.11,2.2,0.9,300,39.8,1.4,2.6,4.9,45,2262,1913,84.6
CEQ11-40C-e61,S6,5,845,0.87,0.79,3.11,2.1,1,300,40.2,1.4,2.4,4.4,45,2207,1858,84.2
CEQ11-40C-e62,S6,5,845,0.9,0.77,3.11,2.2,1,300,40.4,1.2,2.3,4.6,45,2170,1835,84.5
CEQ11-40C-e63,S6,5,845,0.9,0.79,3.11,2.3,0.9,300,40.7,0.8,2.6,4.3,45,2267,1923,84.8
CEQ11-40C-e64,S6,5,845,0.89,0.84,3.11,2.1,1,300,40.1,0.9,2.7,4.3,45,2222,1886,84.9
CEQ11-40C-e65,S6,5,845,0.95,0.76,3.4,2.6,0.9,300,39.1,1.1,2.7,7.2,45,2225,1878,84.4
CEQ11-40C-e66,S6,5,845,0.89,0.81,3.11,2.1,0.9,300,39.5,1,2.4,3.6,45,2294,1959,85.4
CEQ11-40C-e67,S6,5,845,0.88,0.83,3.11,2,0.9,300,40.4,1.1,2.3,3.7,45,2268,1916,84.5
CEQ11-40C-e68,S6,5,845,0.86,0.86,3.11,2,0.9,300,40.2,1.2,2.3,3.6,45,2228,1891,84.9
CEQ11-40C-e69,S6,5,845,0.9,0.84,3.11,2.1,1,300,40,1.1,2.6,3.6,45,2283,1941,85
CEQ11-40C-e70,S6,5,845,0.87,0.84,3.11,2.1,0.9,300,39,1.1,2.4,3.8,45,2190,1855,84.7
